,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
27,tuktoyaktuk,CA,2020-10-28 00:15:09,69.45,-133.04,90,92,10.669999999999959,7.2
28,qaanaaq,GL,2020-10-28 00:12:12,77.48,-69.36,96,82,13.766000000000009,5.43
29,hilo,US,2020-10-28 00:06:18,19.73,-155.09,75,78,79.06999999999996,1.5
30,tual,ID,2020-10-28 00:07:09,-5.67,132.75,95,77,81.82400000000001,6.18
31,jiexiu,CN,2020-10-28 00:08:22,37.02,111.91,98,45,57.16400000000003,0.63
32,cap-aux-meules,CA,2020-10-28 00:08:22,47.38,-61.86,100,74,39.25399999999995,10.24
33,coolum beach,AU,2020-10-28 00:08:22,-26.53,153.1,54,82,76.26199999999996,2.24
34,upernavik,GL,2020-10-28 00:05:54,72.79,-56.15,0,78,15.440000000000019,2.6
35,lebu,CL,2020-10-28 00:06:51,-37.62,-73.65,100,88,51.188000000000045,5.51
36,ushuaia,AR,2020-10-28 00:08:22,-54.8,-68.3,40,48,44.86999999999996,5.7
37,taolanaro,,,,,,,,
38,torbay,CA,2020-10-28 00:05:15,47.67,-52.73,90,100,39.272000000000034,3.6
39,ocos,GT,2020-10-28 00:08:23,14.51,-92.19,75,100,75.46999999999997,1.5
40,port alfred,ZA,2020-10-28 00:08:23,-33.59,26.89,54,83,63.608000000000004,5.07
41,muroto,JP,2020-10-28 00:08:23,33.28,134.15,75,60,73.66999999999996,2.6
42,mataura,NZ,2020-10-28 00:08:23,-46.19,168.86,99,79,54.266000000000005,5.36
43,cumana,VE,2020-10-28 00:08:23,10.46,-64.18,0,83,82.66999999999996,5.1
44,walvis bay,NA,2020-10-28 00:08:23,-22.96,14.51,0,87,57.469999999999956,3.1
45,batagay,RU,2020-10-28 00:08:23,67.63,134.63,92,93,7.574000000000012,0.13
46,bethel,US,2020-10-28 00:06:05,41.37,-73.41,90,61,50.26999999999996,1.5
47,villazon,BO,2020-10-28 00:08:24,-22.09,-65.59,0,39,54.35600000000003,2.3
48,lorengau,PG,2020-10-28 00:08:24,-2.02,147.27,62,65,86.09000000000003,0.75
49,komsomolskiy,UZ,2020-10-28 00:08:24,40.43,71.72,100,53,50.26999999999996,2.1
50,kribi,CM,2020-10-28 00:08:24,2.95,9.92,90,88,78.16999999999996,2.96
51,leningradskiy,RU,2020-10-28 00:04:18,69.38,178.42,0,90,18.446000000000048,7.15
52,ferme-neuve,CA,2020-10-28 00:08:24,46.7,-75.45,59,96,25.39399999999997,1.57
53,vardo,NO,2020-10-28 00:08:24,70.37,31.11,75,93,37.66999999999996,6.7
54,nanortalik,GL,2020-10-28 00:05:56,60.14,-45.24,100,90,30.848000000000024,2.1
55,stoyba,,,,,,,,
56,khatanga,RU,2020-10-28 00:08:25,71.97,102.5,28,90,-5.295999999999999,4.19
57,dobson,US,2020-10-28 00:08:25,36.4,-80.72,40,93,62.86999999999996,1.5
58,lompoc,US,2020-10-28 00:08:25,34.64,-120.46,1,82,55.66999999999996,1.5
59,esperance,AU,2020-10-28 00:08:25,-33.87,121.9,75,72,68.26999999999995,8.2
60,chokurdakh,RU,2020-10-28 00:08:25,70.63,147.92,100,97,12.05600000000003,2.68
61,hobart,AU,2020-10-28 00:07:20,-42.88,147.33,75,62,62.27599999999999,5.1
62,oranjemund,NA,2020-10-28 00:08:25,-28.55,16.43,5,91,55.022000000000034,1.82
63,provideniya,RU,2020-10-28 00:06:24,64.38,-173.3,75,96,32.26999999999996,7
64,moron,AR,2020-10-28 00:08:26,-34.65,-58.62,44,84,60.27799999999996,0.45
65,siteki,SZ,2020-10-28 00:08:26,-26.45,31.95,32,89,66.72200000000004,2.04
66,cape town,ZA,2020-10-28 00:07:32,-33.93,18.42,75,87,64.27400000000002,4.6
67,nurota,UZ,2020-10-28 00:08:26,40.56,65.69,0,56,41.26999999999996,5.1
68,samusu,,,,,,,,
69,padang,ID,2020-10-28 00:08:26,-0.95,100.35,41,57,86.576,1.79
70,plettenberg bay,ZA,2020-10-28 00:08:26,-34.05,23.37,45,71,60.314000000000036,2.68
71,talnakh,RU,2020-10-28 00:04:22,69.49,88.4,0,80,-2.9379999999999953,2.44
72,saint-philippe,RE,2020-10-28 00:08:27,-21.36,55.77,0,61,77.26999999999995,3.1
73,busselton,AU,2020-10-28 00:08:27,-33.65,115.33,14,32,76.26199999999996,3.5
74,charters towers,AU,2020-10-28 00:08:27,-20.1,146.27,1,31,89.618,3.56
75,follonica,IT,2020-10-28 00:07:06,42.93,10.76,0,84,53.27599999999999,2.1
76,severo-kurilsk,RU,2020-10-28 00:03:43,50.68,156.12,9,78,45.42799999999996,1.57
77,tabiauea,,,,,,,,
78,beloha,MG,2020-10-28 00:08:28,-25.17,45.05,90,73,74.37200000000004,7.36
79,mar del plata,AR,2020-10-28 00:08:07,-38,-57.56,0,100,57.272000000000034,2.6
80,atuona,PF,2020-10-28 00:08:28,-9.8,-139.03,1,73,79.05199999999998,8.45
81,dikson,RU,2020-10-28 00:08:28,73.51,80.55,97,94,4.261999999999954,8.33
82,cherskiy,RU,2020-10-28 00:05:51,68.75,161.3,100,92,14.575999999999986,3.94
83,iqaluit,CA,2020-10-28 00:08:29,63.75,-68.51,90,62,21.469999999999956,2.6
84,victoria,HK,2020-10-28 00:08:29,22.29,114.16,100,69,81.26600000000002,4.92
85,klaksvik,FO,2020-10-28 00:06:07,62.23,-6.59,99,81,46.66999999999996,5.1
86,evensk,RU,2020-10-28 00:08:29,61.95,159.23,0,82,29.26400000000003,3.68
87,katsuura,JP,2020-10-28 00:06:50,35.13,140.3,75,68,70.26799999999999,1.5
88,hithadhoo,MV,2020-10-28 00:08:29,-0.6,73.08,95,66,84.75800000000001,4.86
89,ugoofaaru,MV,2020-10-28 00:08:29,5.67,73,7,72,83.37200000000004,2.83
90,gravdal,NO,2020-10-28 00:08:29,68.12,13.5,20,86,41.26999999999996,1
91,half moon bay,US,2020-10-28 00:06:52,37.46,-122.43,5,36,64.66999999999996,1.22
92,flinders,AU,2020-10-28 00:08:30,-34.58,150.86,40,63,69.27799999999996,3.6
93,hermanus,ZA,2020-10-28 00:06:01,-34.42,19.23,99,89,58.26199999999996,0.89
94,avila,ES,2020-10-28 00:08:30,40.58,-5,90,87,52.069999999999965,0.5
95,baruun-urt,MN,2020-10-28 00:08:30,46.68,113.28,0,55,41.108000000000004,5.73
96,albany,US,2020-10-28 00:04:12,42.6,-73.97,100,87,44.27599999999999,0.2
97,kaitangata,NZ,2020-10-28 00:03:39,-46.28,169.85,58,81,52.26799999999999,4.47
98,ribeira grande,PT,2020-10-28 00:03:41,38.52,-28.7,100,61,63.14000000000002,2.08
99,saint george,US,2020-10-28 00:07:25,37.1,-113.58,1,15,55.66999999999996,10.8
100,santiago del estero,AR,2020-10-28 00:08:32,-27.8,-64.26,0,47,71.99600000000005,3.69
101,koumac,NC,2020-10-28 00:08:33,-20.57,164.28,88,66,79.34000000000003,2.63
102,grindavik,IS,2020-10-28 00:08:33,63.84,-22.43,0,55,39.469999999999956,9.3
103,butaritari,KI,2020-10-28 00:06:43,3.07,172.79,12,65,81.62599999999999,1.77
104,kamaishi,JP,2020-10-28 00:04:05,39.27,141.88,40,50,57.469999999999956,1.5
105,attawapiskat,,,,,,,,
106,laguna,US,2020-10-28 00:03:56,38.42,-121.42,1,47,61.26799999999999,2.27
107,puerto ayora,EC,2020-10-28 00:05:59,-0.74,-90.35,99,94,67.26199999999996,0.89
108,yerbogachen,RU,2020-10-28 00:08:34,61.28,108.01,93,92,22.15399999999995,2.95
109,nuuk,GL,2020-10-28 00:08:34,64.18,-51.72,10,79,23.26999999999996,5.1
110,bolungarvik,,,,,,,,
111,garowe,SO,2020-10-28 00:08:34,8.41,48.48,47,57,74.89399999999998,2.28
112,muli,MV,2020-10-28 00:08:34,2.92,73.57,100,76,83.42599999999999,5.91
113,naze,JP,2020-10-28 00:04:58,28.37,129.48,75,61,80.86999999999996,4.1
114,san patricio,US,2020-10-28 00:08:35,28.02,-97.52,90,87,55.66999999999996,7.7
115,umzimvubu,,,,,,,,
116,coihaique,CL,2020-10-28 00:08:35,-45.58,-72.07,75,93,39.469999999999956,2.1
117,salalah,OM,2020-10-28 00:06:22,17.02,54.09,20,56,73.66999999999996,1
118,erdenet,MN,2020-10-28 00:08:35,49.03,104.08,0,59,40.45999999999998,1.69
119,muros,ES,2020-10-28 00:08:35,42.78,-9.06,97,95,54.266000000000005,3.77
120,jutai,BR,2020-10-28 00:08:35,-5.18,-68.9,86,94,74.46199999999996,0.26
121,portalegre,PT,2020-10-28 00:08:35,39.29,-7.43,82,86,59.26999999999996,0.45
122,kansanshi,ZM,2020-10-28 00:06:33,-12.1,26.43,25,58,62.79800000000003,2.4
123,maua,BR,2020-10-28 00:04:36,-23.67,-46.46,0,68,71.86999999999996,1
124,ritchie,ZA,2020-10-28 00:08:36,-29.04,24.6,40,52,70.06999999999996,4.1
125,belushya guba,,,,,,,,
126,lushunkou,,,,,,,,
127,fare,PF,2020-10-28 00:08:36,-16.7,-151.02,56,81,80.69000000000003,7.98
128,durango,MX,2020-10-28 00:03:41,24.83,-104.83,73,70,54.55399999999995,4.21
129,araguaina,BR,2020-10-28 00:08:36,-7.19,-48.21,70,80,77.28800000000004,1.66
130,kudahuvadhoo,MV,2020-10-28 00:08:37,2.67,72.89,76,74,83.60600000000002,6.02
131,gat,IL,2020-10-28 00:04:01,31.61,34.76,66,100,73.27400000000002,1.14
132,keti bandar,PK,2020-10-28 00:08:37,24.14,67.45,0,50,82.45399999999995,3.73
133,guerrero negro,MX,2020-10-28 00:08:37,27.98,-114.06,0,37,62.76199999999996,6.13
134,birao,CF,2020-10-28 00:08:13,10.28,22.79,15,56,71.95999999999998,0.76
135,tiksi,RU,2020-10-28 00:06:02,71.69,128.87,1,90,-2.5419999999999945,6.16
136,hendijan,,,,,,,,
137,narsaq,GL,2020-10-28 00:08:02,60.92,-46.05,100,74,30.46999999999996,0.5
138,san jeronimo,PE,2020-10-28 00:08:37,-11.95,-75.28,96,72,50.935999999999964,0.3
139,santa maria,BR,2020-10-28 00:06:07,-29.68,-53.81,0,87,57.469999999999956,1.5
140,sungairaya,ID,2020-10-28 00:08:38,0.7,108.9,90,62,87.76400000000004,3.95
141,pacific grove,US,2020-10-28 00:03:38,36.62,-121.92,1,28,59.26999999999996,2.1
142,paoua,CF,2020-10-28 00:07:06,7.24,16.44,13,65,68.342,1.26
143,newport,GB,2020-10-28 00:08:38,51.59,-3,82,97,47.26400000000003,0.45
144,polunochnoye,RU,2020-10-28 00:08:38,60.87,60.42,100,98,28.94000000000002,0.69
145,maceio,BR,2020-10-28 00:05:35,-9.67,-35.74,75,88,75.46999999999997,2.1
146,avarua,CK,2020-10-28 00:08:38,-21.21,-159.78,100,94,70.06999999999996,3.6
147,grand falls,CA,2020-10-28 00:08:39,47.05,-67.74,90,68,28.66999999999996,2.1
148,mehamn,NO,2020-10-28 00:08:39,71.04,27.85,75,86,37.66999999999996,5.7
149,wahiawa,US,2020-10-28 00:05:13,21.5,-158.02,90,83,80.86999999999996,1.5
150,broome,US,2020-10-28 00:08:39,42.25,-75.83,90,87,46.274000000000015,1.5
151,cidreira,BR,2020-10-28 00:08:39,-30.18,-50.21,100,85,62.41999999999996,5.86
152,nizwa,OM,2020-10-28 00:08:39,22.93,57.53,0,39,74.858,0.67
153,somerset east,ZA,2020-10-28 00:08:39,-32.72,25.59,30,73,63.608000000000004,0.69
154,luanda,AO,2020-10-28 00:03:24,-8.84,13.23,75,94,75.46999999999997,1.5
155,amot,NO,2020-10-28 00:08:40,59.57,7.99,100,94,42.27799999999996,2.11
156,richards bay,ZA,2020-10-28 00:08:40,-28.78,32.04,4,79,74.22799999999997,6.77
157,shingu,JP,2020-10-28 00:07:37,33.73,135.98,75,60,68.26999999999995,1.5
158,barentsburg,,,,,,,,
159,saldanha,ZA,2020-10-28 00:08:40,-33.01,17.94,100,87,59.26999999999996,1.5
160,juifang,,,,,,,,
161,ancud,CL,2020-10-28 00:04:52,-41.87,-73.82,40,93,47.26400000000003,1.5
162,lira,UG,2020-10-28 00:08:40,2.23,32.91,92,93,65.084,0.66
163,oussouye,SN,2020-10-28 00:08:40,12.48,-16.55,0,94,79.06999999999996,0.98
164,talcahuano,CL,2020-10-28 00:08:41,-36.72,-73.12,99,81,53.86999999999996,3.1
165,kaeo,NZ,2020-10-28 00:08:41,-35.1,173.78,61,85,65.62400000000002,1.36
166,aden,YE,2020-10-28 00:08:15,12.78,45.04,0,61,81.75199999999998,4.23
167,jacobabad,PK,2020-10-28 00:08:41,28.28,68.44,0,16,81.08599999999997,0.93
168,singaraja,ID,2020-10-28 00:08:41,-8.11,115.09,70,56,88.53800000000004,1.25
169,borlange,,,,,,,,
170,ashwaubenon,US,2020-10-28 00:04:37,44.48,-88.07,1,55,35.27599999999999,4.1
171,manavalakurichi,IN,2020-10-28 00:08:41,8.13,77.3,58,63,86.108,0.67
172,douentza,ML,2020-10-28 00:08:42,15,-2.95,33,19,74.642,1.62
173,luganville,VU,2020-10-28 00:08:42,-15.53,167.17,40,70,84.46999999999997,5.1
174,pevek,RU,2020-10-28 00:08:42,69.7,170.31,100,95,21.308000000000003,3.98
175,moanda,GA,2020-10-28 00:08:42,-1.56,13.22,100,98,71.16799999999998,1.15
176,nome,US,2020-10-28 00:08:13,64.5,-165.41,90,86,34.06999999999996,2.6
177,port hardy,CA,2020-10-28 00:08:42,50.7,-127.42,90,100,46.66999999999996,3.1
178,scarborough,GB,2020-10-28 00:06:41,54.28,-0.4,58,87,44.27599999999999,1.79
179,faanui,PF,2020-10-28 00:07:00,-16.48,-151.75,100,81,80.02400000000002,8.1
180,chapais,CA,2020-10-28 00:07:35,49.78,-74.85,90,73,23.26999999999996,3.6
181,tsihombe,,,,,,,,
182,port blair,IN,2020-10-28 00:05:09,11.67,92.75,96,69,84.36199999999997,1.66
183,pangnirtung,CA,2020-10-28 00:08:43,66.15,-65.71,0,76,8.617999999999984,1.8
184,saskylakh,RU,2020-10-28 00:08:43,71.92,114.08,100,93,7.25,6.38
185,sibolga,ID,2020-10-28 00:08:43,1.74,98.78,56,57,86.12599999999999,1.99
186,nakusp,CA,2020-10-28 00:08:43,50.25,-117.8,93,93,33.27799999999996,1.34
187,diffa,NE,2020-10-28 00:08:43,13.32,12.61,0,23,76.64000000000001,3.97
188,yellowknife,CA,2020-10-28 00:08:44,62.46,-114.35,40,72,14.269999999999957,3.1
189,kirakira,SB,2020-10-28 00:08:14,-10.45,161.92,70,75,84.45199999999997,4.91
190,la ronge,CA,2020-10-28 00:07:16,55.1,-105.28,90,86,28.66999999999996,4.1
191,riihimaki,FI,2020-10-28 00:08:44,60.74,24.78,75,93,48.469999999999956,5.7
192,aklavik,CA,2020-10-28 00:04:10,68.22,-135.01,90,85,10.669999999999959,1
193,ewa beach,US,2020-10-28 00:08:44,21.32,-158.01,75,74,80.86999999999996,1.42
194,asau,RO,2020-10-28 00:08:44,46.43,26.4,89,98,50.26999999999996,0.64
195,zverinogolovskoye,RU,2020-10-28 00:08:44,54.46,64.85,70,93,23.972000000000037,4.08
196,praia da vitoria,PT,2020-10-28 00:08:45,38.73,-27.07,75,77,62.27599999999999,3.5
197,luderitz,NA,2020-10-28 00:08:45,-26.65,15.16,0,81,55.742,4.36
198,arraial do cabo,BR,2020-10-28 00:08:45,-22.97,-42.03,20,92,72.93200000000002,8.84
199,praya,CV,2020-10-28 00:08:45,14.92,-23.51,91,88,75.46999999999997,5.7
200,chifeng,CN,2020-10-28 00:08:45,42.27,118.96,0,36,51.78200000000002,4.74
201,loknya,RU,2020-10-28 00:08:45,56.83,30.15,62,92,47.33599999999997,4.99
202,georgetown,MY,2020-10-28 00:04:31,5.41,100.34,20,74,88.06999999999996,2.6
203,kosh-agach,RU,2020-10-28 00:08:45,50,88.67,57,71,32.45,1.51
204,illoqqortoormiut,,,,,,,,
205,challapata,BO,2020-10-28 00:08:46,-18.9,-66.77,0,44,48.25399999999995,2.78
206,airai,TL,2020-10-28 00:07:22,-8.93,125.41,62,69,75.092,1.56
207,mezen,RU,2020-10-28 00:08:46,65.85,44.24,100,96,40.80199999999998,4.89
208,canico,PT,2020-10-28 00:08:46,32.63,-16.85,75,68,66.46999999999997,1.5
209,mao,ES,2020-10-28 00:08:46,39.89,4.27,0,71,55.66999999999996,1.5
210,makakilo city,US,2020-10-28 00:08:46,21.35,-158.09,75,74,80.86999999999996,1.7
211,labytnangi,RU,2020-10-28 00:07:43,66.66,66.42,97,94,6.241999999999994,1.36
212,sitka,US,2020-10-28 00:04:33,57.05,-135.33,90,81,44.86999999999996,3.1
213,hazorasp,UZ,2020-10-28 00:08:47,41.32,61.07,0,74,28.66999999999996,2.1
214,damghan,IR,2020-10-28 00:08:47,36.17,54.35,0,48,57.45199999999998,0.43
215,weinan,CN,2020-10-28 00:08:47,34.5,109.51,40,81,56.26400000000004,1
216,bengkulu,ID,2020-10-28 00:04:12,-3.8,102.27,77,65,84.092,2.39
217,isangel,VU,2020-10-28 00:08:47,-19.55,169.27,13,69,78.89000000000001,7.59
218,namibe,AO,2020-10-28 00:08:47,-15.2,12.15,2,85,69.584,2.35
219,lulea,SE,2020-10-28 00:08:47,65.58,22.15,98,100,37.66999999999996,0.5
220,muncar,ID,2020-10-28 00:08:47,-8.43,114.33,83,64,86.18000000000004,3.49
221,boende,CD,2020-10-28 00:08:48,-0.22,20.87,100,98,71.618,1.61
222,deputatskiy,RU,2020-10-28 00:08:48,69.3,139.9,7,92,-0.5799999999999912,2.43
223,barrow,US,2020-10-28 00:05:54,71.29,-156.79,75,74,28.66999999999996,10.3
224,chuy,UY,2020-10-28 00:08:48,-33.7,-53.46,100,97,62.38399999999999,3.79
225,middle valley,US,2020-10-28 00:08:48,35.2,-85.18,9,69,67.26199999999996,0.34
226,rio gallegos,AR,2020-10-28 00:06:46,-51.62,-69.22,20,36,48.469999999999956,9.8
227,ponta do sol,PT,2020-10-28 00:08:49,32.67,-17.1,75,68,66.46999999999997,1.5
228,cabedelo,BR,2020-10-28 00:08:49,-6.98,-34.83,40,88,77.26999999999995,2.1
229,saryozek,KZ,2020-10-28 00:08:49,44.36,77.98,100,82,36.48200000000001,1.32
230,petropavlovsk-kamchatskiy,RU,2020-10-28 00:08:49,53.05,158.65,40,65,46.66999999999996,3
231,seoul,KR,2020-10-28 00:06:44,37.57,126.98,1,27,66.46999999999997,1.5
232,toyooka,JP,2020-10-28 00:08:49,35.53,134.83,75,68,64.66999999999996,1.5
233,sao joao da barra,BR,2020-10-28 00:07:59,-21.64,-41.05,87,93,74.24600000000005,4.95
234,sept-iles,CA,2020-10-28 00:08:01,50.2,-66.38,20,85,23.26999999999996,2.1
235,sawtell,AU,2020-10-28 00:08:50,-30.38,153.1,90,82,68.26999999999995,3.1
236,aransas pass,US,2020-10-28 00:08:50,27.91,-97.15,90,93,53.86999999999996,8.2
237,golden,US,2020-10-28 00:07:18,39.76,-105.22,5,68,33.27799999999996,3.1
238,conakry,GN,2020-10-28 00:05:06,9.54,-13.68,74,81,80.726,2.98
239,taltal,CL,2020-10-28 00:08:50,-25.4,-70.48,10,77,55.958000000000006,1.32
240,nizhneyansk,,,,,,,,
241,rocky mountain house,CA,2020-10-28 00:08:51,52.37,-114.92,91,96,36.48200000000001,4.28
242,cockburn town,TC,2020-10-28 00:08:51,21.46,-71.14,21,79,82.99399999999997,9.9
243,quelimane,MZ,2020-10-28 00:08:52,-17.88,36.89,36,82,75.83000000000004,1.67
244,kamyshla,RU,2020-10-28 00:08:52,54.12,52.14,89,91,30.488000000000046,1.81
245,dalvik,IS,2020-10-28 00:08:52,65.97,-18.53,90,74,37.66999999999996,2.1
246,hasaki,JP,2020-10-28 00:08:53,35.73,140.83,75,56,69.27799999999996,1.5
247,manicore,BR,2020-10-28 00:08:53,-5.81,-61.3,65,93,72.95,0.99
248,namwala,ZM,2020-10-28 00:08:53,-15.75,26.44,0,40,67.55000000000001,1.92
249,sao filipe,CV,2020-10-28 00:06:38,14.9,-24.5,90,69,81.64399999999998,1.69
250,bolshoy uluy,,,,,,,,
251,beibei,CN,2020-10-28 00:08:53,29.83,106.43,90,100,60.27799999999996,3
252,clyde river,CA,2020-10-28 00:08:54,70.47,-68.59,1,61,14.269999999999957,3.1
253,berlevag,NO,2020-10-28 00:08:54,70.86,29.09,75,86,37.66999999999996,5.7
254,vestmannaeyjar,IS,2020-10-28 00:08:54,63.44,-20.27,61,68,41.97200000000004,9.53
255,arvika,SE,2020-10-28 00:08:54,59.66,12.59,88,100,46.66999999999996,6.2
256,tiarei,PF,2020-10-28 00:08:54,-17.53,-149.33,75,74,82.66999999999996,7.2
257,chicama,PE,2020-10-28 00:06:16,-7.84,-79.15,85,81,64.66999999999996,2.04
258,perdoes,BR,2020-10-28 00:08:54,-21.09,-45.09,0,86,68.09000000000003,0.96
259,peringat,MY,2020-10-28 00:08:54,6.03,102.28,100,49,95.26999999999995,0.77
260,kaduna,NG,2020-10-28 00:08:55,10.52,7.44,100,38,68.97200000000004,1.71
261,fort-de-france,MQ,2020-10-28 00:08:40,14.61,-61.07,75,94,79.06999999999996,2.6
262,port moresby,PG,2020-10-28 00:08:55,-9.44,147.18,90,94,79.06999999999996,9.3
263,kieta,PG,2020-10-28 00:08:55,-6.22,155.63,36,74,83.82200000000003,0.46
264,palmer,US,2020-10-28 00:08:55,42.16,-72.33,90,81,48.272000000000034,2.1
265,tabou,CI,2020-10-28 00:08:12,4.42,-7.35,96,87,77.25199999999998,1.32
266,mardin,TR,2020-10-28 00:08:55,37.31,40.74,0,37,61.069999999999965,1.93
267,gornyy,RU,2020-10-28 00:08:56,55.12,83.91,50,98,32.45,13.46
268,paradwip,,,,,,,,
269,armacao dos buzios,,,,,,,,
270,takaungu,KE,2020-10-28 00:08:56,-3.68,39.86,3,82,78.16999999999996,2.36
271,aykhal,RU,2020-10-28 00:07:43,66,111.5,57,89,-4.774000000000015,1.94
272,zhezkazgan,KZ,2020-10-28 00:08:56,47.8,67.71,47,90,30.398000000000025,6.29
273,mahebourg,MU,2020-10-28 00:06:05,-20.41,57.7,8,72,76.26199999999996,1.34
274,manokwari,ID,2020-10-28 00:08:56,-0.87,134.08,46,65,85.87400000000002,1.99
275,lohardaga,IN,2020-10-28 00:08:56,23.43,84.68,0,36,77.59399999999997,1.61
276,srednekolymsk,RU,2020-10-28 00:05:25,67.45,153.68,86,92,14.359999999999978,4.41
277,goderich,CA,2020-10-28 00:08:57,43.75,-81.72,97,76,44.27599999999999,5.56
278,qasigiannguit,GL,2020-10-28 00:05:28,68.82,-51.19,83,72,10.669999999999959,2.1
279,albertville,US,2020-10-28 00:08:57,34.27,-86.21,90,94,71.27599999999998,3.3
280,vostok,RU,2020-10-28 00:08:19,46.49,135.88,100,100,34.25,0.85
281,vimperk,CZ,2020-10-28 00:08:57,49.06,13.78,16,87,34.26799999999999,0.45
282,atikokan,CA,2020-10-28 00:08:11,48.76,-91.62,100,95,25.843999999999973,4.33
283,hofn,IS,2020-10-28 00:05:06,64.25,-15.21,100,78,40.87400000000001,10.67
284,nabire,ID,2020-10-28 00:05:21,-3.37,135.48,97,66,86.50399999999996,1.91
285,lavrentiya,RU,2020-10-28 00:06:22,65.58,-171,29,90,27.661999999999956,3.65
286,gardan diwal,,,,,,,,
287,biak,ID,2020-10-28 00:08:58,-0.91,122.88,89,61,86.0,2.94
288,blackfoot,US,2020-10-28 00:04:00,43.19,-112.34,7,53,35.27599999999999,1.67
289,marcona,,,,,,,,
290,mehtar lam,AF,2020-10-28 00:08:58,34.67,70.21,0,20,71.67200000000004,0.24
291,ambilobe,MG,2020-10-28 00:07:25,-13.2,49.05,1,63,77.93599999999998,1.87
292,ambulu,ID,2020-10-28 00:07:31,-8.35,113.61,97,72,84.74000000000002,3.16
293,vaitupu,,,,,,,,
294,vila franca do campo,PT,2020-10-28 00:08:59,37.72,-25.43,75,63,62.86999999999996,1.82
295,coripata,BO,2020-10-28 00:08:59,-16.3,-67.6,40,30,44.86999999999996,1
296,constitucion,CL,2020-10-28 00:08:59,-35.33,-72.42,19,83,49.08200000000002,1.29
297,the valley,AI,2020-10-28 00:08:59,18.22,-63.06,20,69,82.66999999999996,6.7
298,pionerskiy,RU,2020-10-28 00:08:59,54.95,20.23,100,100,44.86999999999996,3
299,gazanjyk,TM,2020-10-28 00:08:59,39.24,55.52,0,51,48.01999999999996,7.94
300,urucara,BR,2020-10-28 00:08:59,-2.54,-57.76,95,89,77.91799999999998,0.82
301,balaipungut,ID,2020-10-28 00:09:00,1.05,101.28,91,53,93.2,1.01
302,east london,ZA,2020-10-28 00:05:54,-33.02,27.91,0,93,61.069999999999965,4.1
303,kousseri,CM,2020-10-28 00:09:00,12.08,15.03,9,45,68.26999999999995,3.1
304,mareeba,AU,2020-10-28 00:09:00,-17,145.43,38,62,90.26600000000002,5.7
305,santa cruz de la palma,ES,2020-10-28 00:09:00,28.68,-17.76,75,64,70.06999999999996,3.6
306,lang son,VN,2020-10-28 00:09:00,21.83,106.73,91,62,80.34800000000003,5.32
307,salinas,US,2020-10-28 00:08:56,36.68,-121.66,1,41,61.069999999999965,1.5
